method,status,skip_reason,num_queries,hit_at_1,hit_at_1_ci95_low,hit_at_1_ci95_high,hit_at_3,hit_at_3_ci95_low,hit_at_3_ci95_high,mrr,mrr_ci95_low,mrr_ci95_high,ndcg_at_3,ndcg_at_3_ci95_low,ndcg_at_3_ci95_high,mean_feature_distance,mean_feature_distance_ci95_low,mean_feature_distance_ci95_high,mean_path_f1,mean_path_f1_ci95_low,mean_path_f1_ci95_high,mean_path_ndtw,mean_path_ndtw_ci95_low,mean_path_ndtw_ci95_high,mean_path_edit_distance,mean_path_edit_distance_ci95_low,mean_path_edit_distance_ci95_high,mean_path_max_distance_m,mean_path_max_distance_m_ci95_low,mean_path_max_distance_m_ci95_high
oracle_feature_upper_bound,ran,,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.95,1.0,1.377739271971346,1.2258477255643199,1.5260081241709678,0.575004086144773,0.5060546323913953,0.6454385657065854,0.36711073214469514,0.3002627053331319,0.43891199508200923,77.42,58.57925,100.35949999999998,939.6605852507352,718.8644267057045,1186.1562816344997
oracle_path_upper_bound,ran,,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5691459162054096,1.406766871129744,1.7223792112883909,0.6577627539705759,0.5963050451132728,0.7154153192206313,0.42715236824796193,0.35580680396484293,0.498819217695538,72.95,53.77825,95.13399999999999,834.6824000020149,629.2098079290234,1056.0205015757817
random,ran,,100,0.12,0.06,0.18,0.33,0.24,0.43,0.30613492063492065,0.2568406746031746,0.36380813492063496,0.5359898459958555,0.4920865822814726,0.5812611188619589,1.8576612083812025,1.7348552990498713,1.9756597513584861,0.48334556818776053,0.4259733797000202,0.5417019010394916,0.25694244143825734,0.19860200711928083,0.3129857370616392,81.76,63.158249999999995,103.182,981.9246874594454,769.4465798225792,1192.2361981896083
shortest_distance,ran,,100,0.12,0.06,0.19,0.29,0.2,0.37,0.29971825396825397,0.24892757936507942,0.3535514880952381,0.5452023212309424,0.4819780427701988,0.6070043385656407,1.8187027216733613,1.6740112166009582,1.950513378247973,0.5116106789872537,0.45031741770467953,0.5710047921174065,0.29014617479600585,0.2294130832232996,0.3512780784951332,80.14,60.17675,101.67275,980.1046298803284,753.01561810782,1213.6841583359442
profile,ran,,100,0.1,0.05,0.17,0.21,0.13,0.29,0.2635079365079365,0.21068591269841275,0.3192758928571428,0.4450003093518638,0.38259049839547465,0.5083337524514892,1.976744020631612,1.860406193657969,2.0765643621798238,0.44541428299006486,0.3876951919312495,0.5064635046099807,0.21537526019058767,0.16233241034495846,0.2695587285682599,83.17,64.09675,103.79100000000001,1010.980653696036,811.0886322508437,1244.248859476177
vehicle_profile,ran,,100,0.23,0.15,0.32,0.43,0.33,0.53,0.40815873015873017,0.34321865079365077,0.4752132936507936,0.6153464805036201,0.5613814557356169,0.671764660272874,1.8186202018829736,1.700070739843211,1.9217841578678239,0.47151044574967776,0.41521575071486067,0.5229280796034486,0.2399965672478959,0.1829634432499209,0.3024586582807007,82.42,63.3485,103.1215,1013.6433202485068,792.2737102620694,1252.1928085219358
learned_feature_ranker,ran,,97,0.21649484536082475,0.14432989690721648,0.30927835051546393,0.4536082474226804,0.36082474226804123,0.5567010309278351,0.40075683194239897,0.3313733431516937,0.4696080837833415,0.5973035669424164,0.5334409340558547,0.6520436458364453,1.72502151185158,1.5829715827947743,1.8646723862361458,0.4767024014845233,0.4158980751984397,0.5396624882503364,0.26894082234566863,0.20261549623035463,0.33932364974925044,82.6082474226804,61.86185567010309,104.00567010309278,991.8140340869028,781.7505622023555,1234.9167237608135
prompt_sbert,skipped,Porto trajectories do not include natural-language preference text.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybrid,skipped,Hybrid requires both profile history and natural-language preference text.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
