Method,method_key,Status,N,Hit@1,Hit@3,MRR,NDCG@3,mean feature distance,path F1,NDTW,Notes
Shortest-distance,shortest_distance,ran,100,0.12,0.29,0.29971825396825397,0.5452023212309424,1.8187027216733613,0.5116106789872537,0.29014617479600585,
Generic profile,profile,ran,100,0.1,0.21,0.2635079365079365,0.4450003093518638,1.976744020631612,0.44541428299006486,0.21537526019058767,
Vehicle profile without temporal context,vehicle_profile_no_temporal,missing,0,,,,,,,,Not present in the input artifact; rerun the Porto evaluator after the May 2026 no-temporal variant change.
Vehicle profile with temporal context,vehicle_profile,ran,100,0.23,0.43,0.40815873015873017,0.6153464805036201,1.8186202018829736,0.47151044574967776,0.2399965672478959,
Learned feature ranker,learned_feature_ranker,ran,97,0.21649484536082475,0.4536082474226804,0.40075683194239897,0.5973035669424164,1.72502151185158,0.4767024014845233,0.26894082234566863,
